Geographic Area Names,Total Female Age 18-44 years,"Total AmericanIndianORAlaskaNative Female, 18-44","Total BlackorAfricanAmerican Female, 18-44","Total HispanicORlatino Female, 18-44","Total White Female, 18-44","Total Asian Female, 18-44","Total NativeHawaiin&OtherPacificIslander Female, 18-44"
"Block Group 3, Census Tract 9707.01, Baldwin County, Georgia",303,0.0,86.0,23.0,189.0,5.0,0.0
"Block Group 1, Census Tract 9707.02, Baldwin County, Georgia",359,0.0,240.0,0.0,119.0,0.0,0.0
"Block Group 2, Census Tract 9707.02, Baldwin County, Georgia",168,0.0,112.0,0.0,56.0,0.0,0.0
"Block Group 1, Census Tract 9708, Baldwin County, Georgia",328,0.0,98.0,14.0,216.0,0.0,0.0
"Block Group 2, Census Tract 9708, Baldwin County, Georgia",747,0.0,224.0,31.0,492.0,0.0,0.0
"Block Group 3, Census Tract 9708, Baldwin County, Georgia",465,0.0,139.0,19.0,306.0,0.0,1.0
"Block Group 4, Census Tract 9708, Baldwin County, Georgia",228,0.0,68.0,9.0,150.0,0.0,1.0
"Block Group 1, Census Tract 9701, Banks County, Georgia",708,0.0,0.0,100.0,608.0,0.0,0.0
"Block Group 2, Census Tract 9701, Banks County, Georgia",849,0.0,0.0,119.0,730.0,0.0,0.0
"Block Group 1, Census Tract 9702, Banks County, Georgia",521,0.0,29.0,11.0,470.0,11.0,0.0
"Block Group 2, Census Tract 9702, Banks County, Georgia",388,0.0,22.0,8.0,350.0,8.0,0.0
"Block Group 1, Census Tract 9703, Banks County, Georgia",412,0.0,52.0,15.0,343.0,1.0,1.0
"Block Group 2, Census Tract 9703, Banks County, Georgia",892,0.0,113.0,33.0,744.0,2.0,0.0
"Block Group 1, Census Tract 9704, Banks County, Georgia",789,0.0,0.0,61.0,713.0,15.0,0.0
"Block Group 1, Census Tract 1801.03, Barrow County, Georgia",1476,0.0,82.0,127.0,1190.0,77.0,0.0
"Block Group 1, Census Tract 1801.04, Barrow County, Georgia",516,0.0,92.0,46.0,377.0,0.0,1.0
"Block Group 1, Census Tract 1801.05, Barrow County, Georgia",715,34.0,17.0,99.0,524.0,40.0,1.0
"Block Group 1, Census Tract 1801.06, Barrow County, Georgia",735,0.0,82.0,59.0,547.0,48.0,-1.0
"Block Group 2, Census Tract 1801.06, Barrow County, Georgia",272,0.0,30.0,22.0,202.0,18.0,0.0
"Block Group 1, Census Tract 1801.07, Barrow County, Georgia",390,0.0,0.0,35.0,304.0,51.0,0.0
"Block Group 2, Census Tract 1801.07, Barrow County, Georgia",566,0.0,0.0,51.0,441.0,73.0,1.0
"Block Group 1, Census Tract 1801.08, Barrow County, Georgia",554,0.0,57.0,0.0,481.0,16.0,0.0
"Block Group 2, Census Tract 1801.08, Barrow County, Georgia",452,0.0,46.0,0.0,393.0,13.0,0.0
"Block Group 1, Census Tract 1802.03, Barrow County, Georgia",699,0.0,139.0,119.0,385.0,56.0,0.0
"Block Group 2, Census Tract 1802.03, Barrow County, Georgia",411,0.0,82.0,70.0,226.0,33.0,0.0
"Block Group 1, Census Tract 1802.04, Barrow County, Georgia",339,0.0,144.0,54.0,133.0,8.0,0.0
"Block Group 2, Census Tract 1802.04, Barrow County, Georgia",296,0.0,126.0,47.0,116.0,7.0,0.0
"Block Group 1, Census Tract 1802.05, Barrow County, Georgia",478,0.0,80.0,48.0,325.0,25.0,0.0
"Block Group 2, Census Tract 1802.05, Barrow County, Georgia",173,0.0,29.0,17.0,118.0,9.0,0.0
"Block Group 3, Census Tract 1802.05, Barrow County, Georgia",451,0.0,76.0,45.0,307.0,23.0,0.0
"Block Group 1, Census Tract 1802.06, Barrow County, Georgia",299,0.0,0.0,30.0,269.0,0.0,0.0
"Block Group 2, Census Tract 1802.06, Barrow County, Georgia",433,0.0,0.0,44.0,389.0,0.0,0.0
"Block Group 1, Census Tract 1803.01, Barrow County, Georgia",541,0.0,27.0,57.0,419.0,37.0,1.0
"Block Group 1, Census Tract 1803.02, Barrow County, Georgia",542,0.0,0.0,0.0,532.0,10.0,0.0
"Block Group 2, Census Tract 1803.02, Barrow County, Georgia",733,0.0,0.0,0.0,719.0,14.0,0.0
"Block Group 1, Census Tract 1803.03, Barrow County, Georgia",746,0.0,95.0,90.0,528.0,33.0,0.0
"Block Group 2, Census Tract 1803.03, Barrow County, Georgia",1042,0.0,133.0,125.0,738.0,46.0,0.0
"Block Group 1, Census Tract 1804.01, Barrow County, Georgia",308,0.0,9.0,31.0,254.0,14.0,0.0
"Block Group 2, Census Tract 1804.01, Barrow County, Georgia",1683,0.0,51.0,169.0,1387.0,76.0,0.0
"Block Group 1, Census Tract 1804.02, Barrow County, Georgia",528,0.0,111.0,62.0,342.0,14.0,-1.0
