Geographic Area Names,Total Female Age 18-44 years,"Total AmericanIndianORAlaskaNative Female, 18-44","Total BlackorAfricanAmerican Female, 18-44","Total HispanicORlatino Female, 18-44","Total White Female, 18-44","Total Asian Female, 18-44","Total NativeHawaiin&OtherPacificIslander Female, 18-44"
"Block Group 1, Census Tract 310.05, Cobb County, Georgia",704,0.0,209.0,222.0,254.0,19.0,0.0
"Block Group 2, Census Tract 310.05, Cobb County, Georgia",522,0.0,155.0,164.0,188.0,14.0,1.0
"Block Group 1, Census Tract 311.01, Cobb County, Georgia",655,7.0,127.0,203.0,295.0,22.0,1.0
"Block Group 2, Census Tract 311.01, Cobb County, Georgia",524,6.0,102.0,163.0,236.0,17.0,0.0
"Block Group 3, Census Tract 311.01, Cobb County, Georgia",422,5.0,82.0,131.0,190.0,14.0,0.0
"Block Group 1, Census Tract 311.06, Cobb County, Georgia",315,0.0,125.0,72.0,108.0,10.0,0.0
"Block Group 2, Census Tract 311.06, Cobb County, Georgia",704,0.0,279.0,160.0,242.0,23.0,0.0
"Block Group 3, Census Tract 311.06, Cobb County, Georgia",457,0.0,181.0,104.0,157.0,15.0,0.0
"Block Group 4, Census Tract 311.06, Cobb County, Georgia",805,0.0,319.0,183.0,277.0,26.0,0.0
"Block Group 1, Census Tract 311.08, Cobb County, Georgia",298,0.0,119.0,21.0,145.0,13.0,0.0
"Block Group 2, Census Tract 311.08, Cobb County, Georgia",348,0.0,139.0,25.0,169.0,15.0,0.0
"Block Group 3, Census Tract 311.08, Cobb County, Georgia",1491,0.0,595.0,106.0,725.0,65.0,0.0
"Block Group 4, Census Tract 311.08, Cobb County, Georgia",480,0.0,191.0,34.0,233.0,21.0,1.0
"Block Group 1, Census Tract 311.10, Cobb County, Georgia",753,0.0,132.0,102.0,500.0,19.0,0.0
"Block Group 2, Census Tract 311.10, Cobb County, Georgia",498,0.0,87.0,68.0,331.0,12.0,0.0
"Block Group 1, Census Tract 311.11, Cobb County, Georgia",686,0.0,234.0,0.0,343.0,109.0,0.0
"Block Group 2, Census Tract 311.11, Cobb County, Georgia",763,0.0,260.0,0.0,382.0,121.0,0.0
"Block Group 1, Census Tract 311.12, Cobb County, Georgia",270,0.0,82.0,14.0,163.0,12.0,-1.0
"Block Group 2, Census Tract 311.12, Cobb County, Georgia",905,0.0,274.0,45.0,545.0,41.0,0.0
"Block Group 3, Census Tract 311.12, Cobb County, Georgia",986,0.0,299.0,49.0,594.0,44.0,0.0
"Block Group 1, Census Tract 311.13, Cobb County, Georgia",574,0.0,291.0,140.0,124.0,6.0,13.0
"Block Group 1, Census Tract 311.14, Cobb County, Georgia",1308,0.0,372.0,308.0,489.0,139.0,0.0
"Block Group 2, Census Tract 311.14, Cobb County, Georgia",1014,0.0,288.0,239.0,379.0,108.0,0.0
"Block Group 3, Census Tract 311.14, Cobb County, Georgia",830,0.0,236.0,196.0,310.0,88.0,0.0
"Block Group 4, Census Tract 311.14, Cobb County, Georgia",346,0.0,98.0,82.0,129.0,37.0,0.0
"Block Group 1, Census Tract 311.15, Cobb County, Georgia",782,0.0,223.0,233.0,276.0,50.0,0.0
"Block Group 2, Census Tract 311.15, Cobb County, Georgia",988,0.0,281.0,294.0,349.0,63.0,1.0
"Block Group 1, Census Tract 311.16, Cobb County, Georgia",1123,0.0,383.0,329.0,397.0,14.0,0.0
"Block Group 2, Census Tract 311.16, Cobb County, Georgia",554,0.0,189.0,162.0,196.0,7.0,0.0
"Block Group 3, Census Tract 311.16, Cobb County, Georgia",0,0.0,0.0,0.0,0.0,0.0,0.0
"Block Group 1, Census Tract 311.17, Cobb County, Georgia",887,0.0,201.0,75.0,545.0,66.0,0.0
"Block Group 2, Census Tract 311.17, Cobb County, Georgia",489,0.0,111.0,41.0,300.0,36.0,1.0
"Block Group 3, Census Tract 311.17, Cobb County, Georgia",270,0.0,61.0,23.0,166.0,20.0,0.0
"Block Group 1, Census Tract 311.18, Cobb County, Georgia",597,0.0,116.0,197.0,241.0,44.0,-1.0
"Block Group 2, Census Tract 311.18, Cobb County, Georgia",601,0.0,116.0,198.0,243.0,44.0,0.0
"Block Group 3, Census Tract 311.18, Cobb County, Georgia",385,0.0,75.0,127.0,155.0,28.0,0.0
"Block Group 1, Census Tract 312.05, Cobb County, Georgia",976,0.0,466.0,78.0,341.0,91.0,0.0
"Block Group 2, Census Tract 312.05, Cobb County, Georgia",953,0.0,455.0,76.0,333.0,89.0,0.0
"Block Group 3, Census Tract 312.05, Cobb County, Georgia",584,0.0,279.0,46.0,204.0,54.0,1.0
"Block Group 1, Census Tract 312.06, Cobb County, Georgia",2061,0.0,913.0,154.0,750.0,244.0,0.0
"Block Group 2, Census Tract 312.06, Cobb County, Georgia",350,0.0,155.0,26.0,127.0,41.0,1.0
"Block Group 3, Census Tract 312.06, Cobb County, Georgia",3177,0.0,1407.0,238.0,1156.0,376.0,0.0
"Block Group 1, Census Tract 312.07, Cobb County, Georgia",578,0.0,148.0,0.0,262.0,168.0,0.0
"Block Group 2, Census Tract 312.07, Cobb County, Georgia",1772,0.0,453.0,0.0,802.0,516.0,1.0
"Block Group 3, Census Tract 312.07, Cobb County, Georgia",32,0.0,8.0,0.0,14.0,9.0,1.0
"Block Group 1, Census Tract 312.08, Cobb County, Georgia",698,0.0,145.0,5.0,266.0,276.0,6.0
"Block Group 2, Census Tract 312.08, Cobb County, Georgia",1469,0.0,304.0,11.0,560.0,582.0,12.0
"Block Group 3, Census Tract 312.08, Cobb County, Georgia",1578,0.0,327.0,11.0,602.0,625.0,13.0
"Block Group 1, Census Tract 312.09, Cobb County, Georgia",1311,0.0,236.0,80.0,850.0,145.0,0.0
"Block Group 2, Census Tract 312.09, Cobb County, Georgia",340,0.0,61.0,21.0,221.0,38.0,-1.0
"Block Group 1, Census Tract 312.11, Cobb County, Georgia",414,0.0,212.0,49.0,144.0,10.0,-1.0
"Block Group 2, Census Tract 312.11, Cobb County, Georgia",2134,0.0,1092.0,251.0,741.0,50.0,0.0
"Block Group 3, Census Tract 312.11, Cobb County, Georgia",102,0.0,52.0,12.0,35.0,2.0,1.0
"Block Group 1, Census Tract 312.12, Cobb County, Georgia",379,0.0,25.0,0.0,341.0,13.0,0.0
"Block Group 1, Census Tract 313.06, Cobb County, Georgia",760,0.0,380.0,102.0,266.0,12.0,0.0
"Block Group 2, Census Tract 313.06, Cobb County, Georgia",600,0.0,300.0,80.0,210.0,10.0,0.0
"Block Group 1, Census Tract 313.07, Cobb County, Georgia",301,0.0,90.0,45.0,160.0,6.0,0.0
"Block Group 2, Census Tract 313.07, Cobb County, Georgia",619,0.0,185.0,93.0,328.0,13.0,0.0
"Block Group 3, Census Tract 313.07, Cobb County, Georgia",455,0.0,136.0,68.0,241.0,10.0,0.0
"Block Group 1, Census Tract 313.08, Cobb County, Georgia",177,0.0,61.0,65.0,51.0,0.0,0.0
"Block Group 2, Census Tract 313.08, Cobb County, Georgia",666,0.0,230.0,243.0,193.0,0.0,0.0
"Block Group 3, Census Tract 313.08, Cobb County, Georgia",648,0.0,224.0,237.0,187.0,0.0,0.0
"Block Group 1, Census Tract 313.09, Cobb County, Georgia",484,0.0,260.0,86.0,138.0,0.0,0.0
"Block Group 2, Census Tract 313.09, Cobb County, Georgia",355,0.0,191.0,63.0,101.0,0.0,0.0
"Block Group 3, Census Tract 313.09, Cobb County, Georgia",818,0.0,439.0,145.0,233.0,0.0,1.0
"Block Group 4, Census Tract 313.09, Cobb County, Georgia",724,0.0,389.0,129.0,207.0,0.0,-1.0
"Block Group 1, Census Tract 313.10, Cobb County, Georgia",665,0.0,341.0,181.0,140.0,3.0,0.0
"Block Group 2, Census Tract 313.10, Cobb County, Georgia",1642,0.0,841.0,447.0,347.0,7.0,0.0
"Block Group 3, Census Tract 313.10, Cobb County, Georgia",907,0.0,465.0,247.0,191.0,4.0,0.0
"Block Group 1, Census Tract 313.11, Cobb County, Georgia",1403,0.0,968.0,190.0,228.0,17.0,0.0
"Block Group 2, Census Tract 313.11, Cobb County, Georgia",965,0.0,666.0,131.0,157.0,12.0,-1.0
"Block Group 3, Census Tract 313.11, Cobb County, Georgia",757,0.0,522.0,103.0,123.0,9.0,0.0
"Block Group 1, Census Tract 313.12, Cobb County, Georgia",547,0.0,280.0,72.0,166.0,29.0,0.0
"Block Group 2, Census Tract 313.12, Cobb County, Georgia",17,0.0,9.0,2.0,5.0,1.0,0.0
"Block Group 3, Census Tract 313.12, Cobb County, Georgia",2382,0.0,1221.0,315.0,722.0,124.0,0.0
"Block Group 4, Census Tract 313.12, Cobb County, Georgia",1193,0.0,612.0,158.0,362.0,62.0,-1.0
"Block Group 1, Census Tract 313.13, Cobb County, Georgia",1601,0.0,774.0,138.0,644.0,46.0,-1.0
"Block Group 2, Census Tract 313.13, Cobb County, Georgia",1606,0.0,776.0,138.0,646.0,46.0,0.0
"Block Group 1, Census Tract 314.04, Cobb County, Georgia",314,0.0,173.0,30.0,110.0,0.0,1.0
"Block Group 2, Census Tract 314.04, Cobb County, Georgia",569,0.0,314.0,55.0,200.0,0.0,0.0
"Block Group 3, Census Tract 314.04, Cobb County, Georgia",357,0.0,197.0,35.0,125.0,0.0,0.0
"Block Group 4, Census Tract 314.04, Cobb County, Georgia",367,0.0,203.0,35.0,129.0,0.0,0.0
"Block Group 1, Census Tract 314.05, Cobb County, Georgia",679,0.0,277.0,205.0,193.0,5.0,-1.0
"Block Group 2, Census Tract 314.05, Cobb County, Georgia",627,0.0,256.0,189.0,178.0,4.0,0.0
"Block Group 3, Census Tract 314.05, Cobb County, Georgia",444,0.0,181.0,134.0,126.0,3.0,0.0
"Block Group 4, Census Tract 314.05, Cobb County, Georgia",488,0.0,199.0,147.0,139.0,3.0,0.0
"Block Group 5, Census Tract 314.05, Cobb County, Georgia",500,0.0,204.0,151.0,142.0,3.0,0.0
"Block Group 1, Census Tract 314.06, Cobb County, Georgia",592,0.0,389.0,63.0,137.0,4.0,-1.0
"Block Group 2, Census Tract 314.06, Cobb County, Georgia",1039,0.0,683.0,110.0,240.0,6.0,0.0
"Block Group 3, Census Tract 314.06, Cobb County, Georgia",1474,0.0,969.0,156.0,341.0,9.0,-1.0
"Block Group 1, Census Tract 314.08, Cobb County, Georgia",312,0.0,171.0,40.0,98.0,4.0,-1.0
"Block Group 2, Census Tract 314.08, Cobb County, Georgia",795,0.0,436.0,101.0,249.0,9.0,0.0
"Block Group 3, Census Tract 314.08, Cobb County, Georgia",229,0.0,126.0,29.0,72.0,3.0,-1.0
"Block Group 1, Census Tract 314.09, Cobb County, Georgia",804,0.0,491.0,102.0,207.0,3.0,1.0
"Block Group 2, Census Tract 314.09, Cobb County, Georgia",785,0.0,480.0,99.0,203.0,3.0,0.0
"Block Group 1, Census Tract 315.03, Cobb County, Georgia",590,5.0,269.0,112.0,204.0,0.0,0.0
"Block Group 2, Census Tract 315.03, Cobb County, Georgia",810,7.0,369.0,154.0,280.0,0.0,0.0
"Block Group 3, Census Tract 315.03, Cobb County, Georgia",996,9.0,454.0,189.0,344.0,0.0,0.0
"Block Group 4, Census Tract 315.03, Cobb County, Georgia",505,5.0,230.0,96.0,174.0,0.0,0.0
"Block Group 1, Census Tract 315.05, Cobb County, Georgia",663,0.0,446.0,31.0,172.0,14.0,0.0
"Block Group 2, Census Tract 315.05, Cobb County, Georgia",393,0.0,264.0,19.0,102.0,8.0,0.0
"Block Group 3, Census Tract 315.05, Cobb County, Georgia",608,0.0,409.0,29.0,157.0,13.0,0.0
"Block Group 1, Census Tract 315.06, Cobb County, Georgia",370,0.0,187.0,28.0,143.0,13.0,-1.0
"Block Group 2, Census Tract 315.06, Cobb County, Georgia",368,0.0,186.0,27.0,142.0,13.0,0.0
"Block Group 3, Census Tract 315.06, Cobb County, Georgia",134,0.0,68.0,10.0,52.0,5.0,-1.0
"Block Group 1, Census Tract 315.07, Cobb County, Georgia",713,0.0,542.0,62.0,109.0,0.0,0.0
"Block Group 2, Census Tract 315.07, Cobb County, Georgia",425,0.0,323.0,37.0,65.0,0.0,0.0
"Block Group 1, Census Tract 315.08, Cobb County, Georgia",339,0.0,133.0,93.0,97.0,16.0,0.0
"Block Group 2, Census Tract 315.08, Cobb County, Georgia",935,0.0,368.0,255.0,268.0,44.0,0.0
"Block Group 1, Census Tract 315.09, Cobb County, Georgia",958,0.0,652.0,43.0,235.0,28.0,0.0
"Block Group 2, Census Tract 315.09, Cobb County, Georgia",542,0.0,369.0,24.0,133.0,16.0,0.0
"Block Group 3, Census Tract 315.09, Cobb County, Georgia",533,0.0,363.0,24.0,131.0,16.0,-1.0
"Block Group 4, Census Tract 315.09, Cobb County, Georgia",438,0.0,298.0,20.0,107.0,13.0,0.0
"Block Group 5, Census Tract 315.09, Cobb County, Georgia",733,0.0,499.0,33.0,180.0,22.0,-1.0
"Block Group 1, Census Tract 101, Coffee County, Georgia",226,0.0,27.0,15.0,184.0,0.0,0.0
"Block Group 2, Census Tract 101, Coffee County, Georgia",296,0.0,35.0,19.0,241.0,0.0,1.0
"Block Group 3, Census Tract 101, Coffee County, Georgia",274,0.0,33.0,18.0,223.0,0.0,0.0
"Block Group 1, Census Tract 102, Coffee County, Georgia",554,0.0,51.0,93.0,354.0,56.0,0.0
"Block Group 2, Census Tract 102, Coffee County, Georgia",121,0.0,11.0,20.0,77.0,12.0,1.0
"Block Group 1, Census Tract 103, Coffee County, Georgia",402,0.0,62.0,42.0,298.0,0.0,0.0
"Block Group 2, Census Tract 103, Coffee County, Georgia",391,0.0,60.0,41.0,290.0,0.0,0.0
"Block Group 1, Census Tract 104, Coffee County, Georgia",626,0.0,194.0,24.0,408.0,0.0,0.0
"Block Group 2, Census Tract 104, Coffee County, Georgia",51,0.0,16.0,2.0,33.0,0.0,0.0
"Block Group 3, Census Tract 104, Coffee County, Georgia",242,0.0,75.0,9.0,158.0,0.0,0.0
"Block Group 4, Census Tract 104, Coffee County, Georgia",435,0.0,135.0,17.0,284.0,0.0,-1.0
"Block Group 1, Census Tract 105, Coffee County, Georgia",289,0.0,94.0,51.0,144.0,0.0,0.0
"Block Group 2, Census Tract 105, Coffee County, Georgia",138,0.0,45.0,24.0,69.0,0.0,0.0
"Block Group 3, Census Tract 105, Coffee County, Georgia",641,0.0,209.0,112.0,320.0,0.0,0.0
"Block Group 1, Census Tract 106, Coffee County, Georgia",822,0.0,119.0,51.0,652.0,0.0,0.0
"Block Group 2, Census Tract 106, Coffee County, Georgia",201,0.0,29.0,13.0,159.0,0.0,0.0
"Block Group 3, Census Tract 106, Coffee County, Georgia",483,0.0,70.0,30.0,383.0,0.0,0.0
"Block Group 1, Census Tract 107, Coffee County, Georgia",235,0.0,44.0,60.0,127.0,3.0,1.0
"Block Group 2, Census Tract 107, Coffee County, Georgia",426,0.0,80.0,109.0,231.0,6.0,0.0
"Block Group 3, Census Tract 107, Coffee County, Georgia",157,0.0,29.0,40.0,85.0,2.0,1.0
"Block Group 4, Census Tract 107, Coffee County, Georgia",1097,0.0,206.0,281.0,595.0,15.0,0.0
"Block Group 1, Census Tract 108.01, Coffee County, Georgia",681,0.0,391.0,36.0,255.0,0.0,-1.0
"Block Group 2, Census Tract 108.01, Coffee County, Georgia",450,0.0,258.0,24.0,168.0,0.0,0.0
"Block Group 3, Census Tract 108.01, Coffee County, Georgia",334,0.0,192.0,17.0,125.0,0.0,0.0
"Block Group 1, Census Tract 108.02, Coffee County, Georgia",479,0.0,210.0,72.0,196.0,0.0,1.0
"Block Group 2, Census Tract 108.02, Coffee County, Georgia",734,0.0,322.0,111.0,301.0,0.0,0.0
"Block Group 3, Census Tract 108.02, Coffee County, Georgia",235,0.0,103.0,36.0,96.0,0.0,0.0
"Block Group 1, Census Tract 9701, Colquitt County, Georgia",650,0.0,59.0,120.0,471.0,0.0,0.0
"Block Group 2, Census Tract 9701, Colquitt County, Georgia",516,0.0,47.0,95.0,374.0,0.0,0.0
"Block Group 1, Census Tract 9702, Colquitt County, Georgia",250,0.0,52.0,20.0,178.0,0.0,0.0
"Block Group 2, Census Tract 9702, Colquitt County, Georgia",429,0.0,89.0,34.0,306.0,0.0,0.0
"Block Group 1, Census Tract 9703, Colquitt County, Georgia",503,0.0,326.0,54.0,123.0,0.0,0.0
"Block Group 2, Census Tract 9703, Colquitt County, Georgia",178,0.0,115.0,19.0,43.0,0.0,1.0
"Block Group 3, Census Tract 9703, Colquitt County, Georgia",305,0.0,198.0,33.0,74.0,0.0,0.0
"Block Group 4, Census Tract 9703, Colquitt County, Georgia",78,0.0,51.0,8.0,19.0,0.0,0.0
"Block Group 5, Census Tract 9703, Colquitt County, Georgia",275,0.0,178.0,30.0,67.0,0.0,0.0
"Block Group 1, Census Tract 9704, Colquitt County, Georgia",303,10.0,55.0,73.0,166.0,0.0,-1.0
"Block Group 2, Census Tract 9704, Colquitt County, Georgia",258,8.0,46.0,62.0,141.0,0.0,1.0
"Block Group 3, Census Tract 9704, Colquitt County, Georgia",133,4.0,24.0,32.0,73.0,0.0,0.0
"Block Group 1, Census Tract 9705, Colquitt County, Georgia",464,1.0,31.0,134.0,299.0,0.0,-1.0
"Block Group 2, Census Tract 9705, Colquitt County, Georgia",282,1.0,19.0,81.0,182.0,0.0,-1.0
"Block Group 1, Census Tract 9706, Colquitt County, Georgia",333,0.0,8.0,79.0,243.0,3.0,0.0
"Block Group 2, Census Tract 9706, Colquitt County, Georgia",484,0.0,11.0,115.0,353.0,5.0,0.0
"Block Group 3, Census Tract 9706, Colquitt County, Georgia",670,0.0,16.0,159.0,489.0,7.0,-1.0
"Block Group 1, Census Tract 9707.01, Colquitt County, Georgia",426,0.0,155.0,44.0,226.0,0.0,1.0
"Block Group 2, Census Tract 9707.01, Colquitt County, Georgia",590,0.0,215.0,61.0,313.0,0.0,1.0
"Block Group 3, Census Tract 9707.01, Colquitt County, Georgia",1195,1.0,436.0,124.0,634.0,0.0,0.0
"Block Group 4, Census Tract 9707.01, Colquitt County, Georgia",67,0.0,24.0,7.0,36.0,0.0,0.0
"Block Group 1, Census Tract 9707.02, Colquitt County, Georgia",514,0.0,267.0,111.0,136.0,0.0,0.0
"Block Group 1, Census Tract 9708, Colquitt County, Georgia",425,0.0,197.0,70.0,151.0,7.0,0.0
"Block Group 2, Census Tract 9708, Colquitt County, Georgia",173,0.0,80.0,28.0,62.0,3.0,0.0
"Block Group 3, Census Tract 9708, Colquitt County, Georgia",135,0.0,63.0,22.0,48.0,2.0,0.0
"Block Group 4, Census Tract 9708, Colquitt County, Georgia",130,0.0,60.0,21.0,46.0,2.0,1.0
"Block Group 1, Census Tract 9709, Colquitt County, Georgia",473,1.0,33.0,153.0,279.0,7.0,0.0
"Block Group 2, Census Tract 9709, Colquitt County, Georgia",174,0.0,12.0,56.0,103.0,2.0,1.0
"Block Group 3, Census Tract 9709, Colquitt County, Georgia",1024,3.0,70.0,332.0,604.0,15.0,0.0
"Block Group 4, Census Tract 9709, Colquitt County, Georgia",319,1.0,22.0,103.0,188.0,5.0,0.0
"Block Group 1, Census Tract 301.02, Columbia County, Georgia",204,0.0,15.0,0.0,179.0,10.0,0.0
"Block Group 2, Census Tract 301.02, Columbia County, Georgia",321,0.0,24.0,0.0,282.0,16.0,-1.0
"Block Group 3, Census Tract 301.02, Columbia County, Georgia",348,0.0,26.0,0.0,305.0,17.0,0.0
"Block Group 4, Census Tract 301.02, Columbia County, Georgia",401,0.0,30.0,0.0,352.0,20.0,-1.0
"Block Group 5, Census Tract 301.02, Columbia County, Georgia",513,0.0,38.0,0.0,450.0,25.0,0.0
"Block Group 1, Census Tract 301.03, Columbia County, Georgia",1074,0.0,69.0,19.0,756.0,230.0,0.0
"Block Group 1, Census Tract 301.05, Columbia County, Georgia",442,0.0,76.0,37.0,289.0,40.0,0.0
"Block Group 2, Census Tract 301.05, Columbia County, Georgia",572,0.0,98.0,48.0,373.0,52.0,1.0
"Block Group 3, Census Tract 301.05, Columbia County, Georgia",76,0.0,13.0,6.0,50.0,7.0,0.0
"Block Group 1, Census Tract 301.06, Columbia County, Georgia",376,13.0,65.0,24.0,247.0,27.0,0.0
"Block Group 2, Census Tract 301.06, Columbia County, Georgia",275,10.0,48.0,17.0,181.0,20.0,-1.0
"Block Group 1, Census Tract 302.01, Columbia County, Georgia",788,0.0,137.0,32.0,591.0,27.0,1.0
"Block Group 2, Census Tract 302.01, Columbia County, Georgia",731,0.0,127.0,30.0,548.0,25.0,1.0
"Block Group 3, Census Tract 302.01, Columbia County, Georgia",33,0.0,6.0,1.0,25.0,1.0,0.0
"Block Group 1, Census Tract 302.02, Columbia County, Georgia",1078,0.0,171.0,88.0,818.0,0.0,1.0
"Block Group 1, Census Tract 302.03, Columbia County, Georgia",607,0.0,100.0,116.0,370.0,22.0,-1.0
"Block Group 2, Census Tract 302.03, Columbia County, Georgia",229,0.0,38.0,44.0,140.0,8.0,-1.0
"Block Group 3, Census Tract 302.03, Columbia County, Georgia",206,0.0,34.0,39.0,126.0,7.0,0.0
"Block Group 4, Census Tract 302.03, Columbia County, Georgia",533,0.0,87.0,102.0,325.0,19.0,0.0
"Block Group 1, Census Tract 303.02, Columbia County, Georgia",603,17.0,18.0,77.0,452.0,40.0,-1.0
"Block Group 2, Census Tract 303.02, Columbia County, Georgia",611,17.0,18.0,78.0,458.0,40.0,0.0
"Block Group 3, Census Tract 303.02, Columbia County, Georgia",80,2.0,2.0,10.0,60.0,5.0,1.0
"Block Group 4, Census Tract 303.02, Columbia County, Georgia",557,15.0,17.0,71.0,418.0,37.0,-1.0
"Block Group 5, Census Tract 303.02, Columbia County, Georgia",1136,31.0,34.0,144.0,852.0,75.0,0.0
"Block Group 1, Census Tract 303.04, Columbia County, Georgia",744,0.0,115.0,20.0,581.0,28.0,0.0
"Block Group 2, Census Tract 303.04, Columbia County, Georgia",1773,0.0,273.0,48.0,1385.0,67.0,0.0
"Block Group 1, Census Tract 303.06, Columbia County, Georgia",1382,0.0,269.0,80.0,987.0,47.0,-1.0
"Block Group 2, Census Tract 303.06, Columbia County, Georgia",642,0.0,125.0,37.0,458.0,22.0,0.0
"Block Group 1, Census Tract 303.07, Columbia County, Georgia",290,0.0,31.0,32.0,222.0,6.0,-1.0
"Block Group 2, Census Tract 303.07, Columbia County, Georgia",261,0.0,28.0,29.0,200.0,5.0,-1.0
"Block Group 3, Census Tract 303.07, Columbia County, Georgia",664,0.0,70.0,73.0,508.0,13.0,0.0
"Block Group 4, Census Tract 303.07, Columbia County, Georgia",424,0.0,45.0,46.0,325.0,8.0,0.0
"Block Group 1, Census Tract 303.08, Columbia County, Georgia",1292,0.0,125.0,105.0,1033.0,29.0,0.0
"Block Group 2, Census Tract 303.08, Columbia County, Georgia",1923,0.0,186.0,156.0,1538.0,43.0,0.0
"Block Group 1, Census Tract 303.09, Columbia County, Georgia",1495,0.0,377.0,0.0,975.0,143.0,0.0
"Block Group 2, Census Tract 303.09, Columbia County, Georgia",402,0.0,101.0,0.0,262.0,38.0,1.0
"Block Group 3, Census Tract 303.09, Columbia County, Georgia",221,0.0,56.0,0.0,144.0,21.0,0.0
"Block Group 4, Census Tract 303.09, Columbia County, Georgia",723,0.0,182.0,0.0,472.0,69.0,0.0
"Block Group 1, Census Tract 304.01, Columbia County, Georgia",85,0.0,7.0,0.0,78.0,0.0,0.0
"Block Group 2, Census Tract 304.01, Columbia County, Georgia",167,0.0,13.0,0.0,154.0,0.0,0.0
"Block Group 1, Census Tract 304.02, Columbia County, Georgia",394,0.0,43.0,59.0,264.0,28.0,0.0
"Block Group 2, Census Tract 304.02, Columbia County, Georgia",2760,0.0,301.0,412.0,1852.0,196.0,-1.0
"Block Group 3, Census Tract 304.02, Columbia County, Georgia",299,0.0,33.0,45.0,201.0,21.0,-1.0
"Block Group 1, Census Tract 305.03, Columbia County, Georgia",1894,0.0,489.0,223.0,1153.0,29.0,0.0
"Block Group 2, Census Tract 305.03, Columbia County, Georgia",358,0.0,92.0,42.0,218.0,5.0,1.0
"Block Group 3, Census Tract 305.03, Columbia County, Georgia",1173,0.0,303.0,138.0,714.0,18.0,0.0
"Block Group 1, Census Tract 305.04, Columbia County, Georgia",656,11.0,148.0,9.0,487.0,0.0,1.0
"Block Group 2, Census Tract 305.04, Columbia County, Georgia",216,4.0,49.0,3.0,160.0,0.0,0.0
"Block Group 1, Census Tract 305.05, Columbia County, Georgia",2667,0.0,945.0,99.0,1574.0,49.0,0.0
"Block Group 1, Census Tract 305.06, Columbia County, Georgia",1818,160.0,626.0,182.0,839.0,11.0,0.0
"Block Group 2, Census Tract 305.06, Columbia County, Georgia",478,42.0,165.0,48.0,221.0,3.0,-1.0
"Block Group 3, Census Tract 305.06, Columbia County, Georgia",1450,127.0,499.0,145.0,670.0,9.0,0.0
"Block Group 4, Census Tract 305.06, Columbia County, Georgia",1744,153.0,600.0,175.0,805.0,11.0,0.0
"Block Group 1, Census Tract 306.03, Columbia County, Georgia",623,0.0,194.0,0.0,418.0,11.0,0.0
"Block Group 2, Census Tract 306.03, Columbia County, Georgia",449,0.0,140.0,0.0,301.0,8.0,0.0
"Block Group 1, Census Tract 9601, Cook County, Georgia",425,0.0,40.0,48.0,338.0,0.0,-1.0
"Block Group 2, Census Tract 9601, Cook County, Georgia",170,0.0,16.0,19.0,135.0,0.0,0.0
"Block Group 1, Census Tract 9602, Cook County, Georgia",106,2.0,31.0,16.0,55.0,2.0,0.0
"Block Group 2, Census Tract 9602, Cook County, Georgia",140,3.0,41.0,21.0,73.0,2.0,0.0
"Block Group 3, Census Tract 9602, Cook County, Georgia",200,4.0,58.0,30.0,105.0,3.0,0.0
"Block Group 4, Census Tract 9602, Cook County, Georgia",96,2.0,28.0,14.0,50.0,2.0,0.0
"Block Group 5, Census Tract 9602, Cook County, Georgia",87,2.0,25.0,13.0,46.0,1.0,0.0
"Block Group 1, Census Tract 9603, Cook County, Georgia",382,0.0,149.0,12.0,215.0,6.0,0.0
"Block Group 2, Census Tract 9603, Cook County, Georgia",161,0.0,63.0,5.0,91.0,3.0,-1.0
"Block Group 3, Census Tract 9603, Cook County, Georgia",328,0.0,128.0,10.0,184.0,5.0,1.0
"Block Group 4, Census Tract 9603, Cook County, Georgia",400,0.0,156.0,13.0,225.0,6.0,0.0
"Block Group 5, Census Tract 9603, Cook County, Georgia",154,0.0,60.0,5.0,87.0,2.0,0.0
"Block Group 1, Census Tract 9604, Cook County, Georgia",641,0.0,191.0,23.0,427.0,0.0,0.0
"Block Group 2, Census Tract 9604, Cook County, Georgia",648,0.0,193.0,23.0,432.0,0.0,0.0
"Block Group 3, Census Tract 9604, Cook County, Georgia",409,0.0,122.0,15.0,272.0,0.0,0.0
"Block Group 1, Census Tract 1701, Coweta County, Georgia",992,0.0,116.0,122.0,715.0,25.0,14.0
"Block Group 2, Census Tract 1701, Coweta County, Georgia",666,0.0,78.0,82.0,480.0,17.0,9.0
"Block Group 3, Census Tract 1701, Coweta County, Georgia",337,0.0,40.0,42.0,243.0,8.0,4.0
"Block Group 1, Census Tract 1702, Coweta County, Georgia",714,0.0,89.0,22.0,603.0,0.0,0.0
"Block Group 2, Census Tract 1702, Coweta County, Georgia",523,0.0,65.0,16.0,442.0,0.0,0.0
"Block Group 3, Census Tract 1702, Coweta County, Georgia",182,0.0,23.0,6.0,154.0,0.0,-1.0
"Block Group 4, Census Tract 1702, Coweta County, Georgia",590,0.0,74.0,18.0,499.0,0.0,-1.0
"Block Group 1, Census Tract 1703.03, Coweta County, Georgia",1646,0.0,168.0,72.0,1376.0,29.0,1.0
"Block Group 1, Census Tract 1703.04, Coweta County, Georgia",226,0.0,66.0,13.0,143.0,3.0,1.0
"Block Group 2, Census Tract 1703.04, Coweta County, Georgia",1004,0.0,293.0,59.0,637.0,14.0,1.0
