Geographic Area Names,Geography,Income in the past 12 months below poverty level!!Female!!18 to 44 years,Income in the past 12 months at or above poverty level!!Female!!18 to 44 years
"Block Group 1, Census Tract 9703, Banks County, Georgia",1400000US13011970300,69.0,343.0
"Block Group 2, Census Tract 9703, Banks County, Georgia",1400000US13011970300,149.0,743.0
"Block Group 1, Census Tract 9704, Banks County, Georgia",1400000US13011970400,163.0,626.0
"Block Group 1, Census Tract 1801.03, Barrow County, Georgia",1400000US13013180103,176.0,1300.0
"Block Group 1, Census Tract 1801.04, Barrow County, Georgia",1400000US13013180104,119.0,397.0
"Block Group 1, Census Tract 1801.05, Barrow County, Georgia",1400000US13013180105,148.0,567.0
"Block Group 1, Census Tract 1801.06, Barrow County, Georgia",1400000US13013180106,106.0,629.0
"Block Group 2, Census Tract 1801.06, Barrow County, Georgia",1400000US13013180106,39.0,233.0
"Block Group 1, Census Tract 1801.07, Barrow County, Georgia",1400000US13013180107,39.0,351.0
"Block Group 2, Census Tract 1801.07, Barrow County, Georgia",1400000US13013180107,56.0,510.0
"Block Group 1, Census Tract 1801.08, Barrow County, Georgia",1400000US13013180108,144.0,410.0
"Block Group 2, Census Tract 1801.08, Barrow County, Georgia",1400000US13013180108,118.0,334.0
"Block Group 1, Census Tract 1802.03, Barrow County, Georgia",1400000US13013180203,195.0,504.0
"Block Group 2, Census Tract 1802.03, Barrow County, Georgia",1400000US13013180203,115.0,296.0
"Block Group 1, Census Tract 1802.04, Barrow County, Georgia",1400000US13013180204,86.0,253.0
"Block Group 2, Census Tract 1802.04, Barrow County, Georgia",1400000US13013180204,75.0,221.0
"Block Group 1, Census Tract 1802.05, Barrow County, Georgia",1400000US13013180205,154.0,324.0
"Block Group 2, Census Tract 1802.05, Barrow County, Georgia",1400000US13013180205,56.0,117.0
"Block Group 3, Census Tract 1802.05, Barrow County, Georgia",1400000US13013180205,146.0,305.0
"Block Group 1, Census Tract 1802.06, Barrow County, Georgia",1400000US13013180206,40.0,259.0
"Block Group 2, Census Tract 1802.06, Barrow County, Georgia",1400000US13013180206,58.0,375.0
"Block Group 1, Census Tract 1803.01, Barrow County, Georgia",1400000US13013180301,20.0,521.0
"Block Group 1, Census Tract 1803.02, Barrow County, Georgia",1400000US13013180302,78.0,464.0
"Block Group 2, Census Tract 1803.02, Barrow County, Georgia",1400000US13013180302,105.0,628.0
"Block Group 1, Census Tract 1803.03, Barrow County, Georgia",1400000US13013180303,85.0,661.0
"Block Group 2, Census Tract 1803.03, Barrow County, Georgia",1400000US13013180303,119.0,923.0
"Block Group 1, Census Tract 1804.01, Barrow County, Georgia",1400000US13013180401,17.0,291.0
"Block Group 2, Census Tract 1804.01, Barrow County, Georgia",1400000US13013180401,91.0,1592.0
"Block Group 1, Census Tract 1804.02, Barrow County, Georgia",1400000US13013180402,57.0,471.0
"Block Group 2, Census Tract 1804.02, Barrow County, Georgia",1400000US13013180402,137.0,1135.0
"Block Group 3, Census Tract 1804.02, Barrow County, Georgia",1400000US13013180402,38.0,311.0
"Block Group 1, Census Tract 1805.01, Barrow County, Georgia",1400000US13013180501,210.0,1458.0
"Block Group 1, Census Tract 1805.02, Barrow County, Georgia",1400000US13013180502,50.0,450.0
"Block Group 2, Census Tract 1805.02, Barrow County, Georgia",1400000US13013180502,59.0,525.0
"Block Group 3, Census Tract 1805.02, Barrow County, Georgia",1400000US13013180502,32.0,292.0
"Block Group 4, Census Tract 1805.02, Barrow County, Georgia",1400000US13013180502,21.0,188.0
"Block Group 1, Census Tract 1805.03, Barrow County, Georgia",1400000US13013180503,194.0,1786.0
"Block Group 1, Census Tract 9601.01, Bartow County, Georgia",1400000US13015960101,26.0,290.0
"Block Group 1, Census Tract 9601.02, Bartow County, Georgia",1400000US13015960102,82.0,991.0
"Block Group 2, Census Tract 9601.02, Bartow County, Georgia",1400000US13015960102,41.0,491.0
"Block Group 3, Census Tract 9601.02, Bartow County, Georgia",1400000US13015960102,36.0,429.0
"Block Group 1, Census Tract 9602, Bartow County, Georgia",1400000US13015960200,78.0,610.0
"Block Group 2, Census Tract 9602, Bartow County, Georgia",1400000US13015960200,42.0,326.0
"Block Group 3, Census Tract 9602, Bartow County, Georgia",1400000US13015960200,75.0,586.0
"Block Group 4, Census Tract 9602, Bartow County, Georgia",1400000US13015960200,115.0,894.0
"Block Group 5, Census Tract 9602, Bartow County, Georgia",1400000US13015960200,46.0,362.0
"Block Group 1, Census Tract 9603, Bartow County, Georgia",1400000US13015960300,77.0,708.0
"Block Group 2, Census Tract 9603, Bartow County, Georgia",1400000US13015960300,86.0,796.0
"Block Group 1, Census Tract 9604.01, Bartow County, Georgia",1400000US13015960401,30.0,185.0
"Block Group 2, Census Tract 9604.01, Bartow County, Georgia",1400000US13015960401,191.0,1186.0
"Block Group 3, Census Tract 9604.01, Bartow County, Georgia",1400000US13015960401,177.0,1097.0
"Block Group 1, Census Tract 9604.02, Bartow County, Georgia",1400000US13015960402,25.0,792.0
"Block Group 2, Census Tract 9604.02, Bartow County, Georgia",1400000US13015960402,14.0,433.0
"Block Group 3, Census Tract 9604.02, Bartow County, Georgia",1400000US13015960402,40.0,1291.0
"Block Group 1, Census Tract 9605, Bartow County, Georgia",1400000US13015960500,90.0,298.0
"Block Group 2, Census Tract 9605, Bartow County, Georgia",1400000US13015960500,58.0,190.0
"Block Group 3, Census Tract 9605, Bartow County, Georgia",1400000US13015960500,70.0,231.0
"Block Group 4, Census Tract 9605, Bartow County, Georgia",1400000US13015960500,322.0,1065.0
"Block Group 1, Census Tract 9606, Bartow County, Georgia",1400000US13015960600,116.0,284.0
"Block Group 2, Census Tract 9606, Bartow County, Georgia",1400000US13015960600,30.0,72.0
"Block Group 3, Census Tract 9606, Bartow County, Georgia",1400000US13015960600,191.0,468.0
"Block Group 4, Census Tract 9606, Bartow County, Georgia",1400000US13015960600,125.0,307.0
"Block Group 5, Census Tract 9606, Bartow County, Georgia",1400000US13015960600,279.0,686.0
"Block Group 6, Census Tract 9606, Bartow County, Georgia",1400000US13015960600,66.0,163.0
"Block Group 1, Census Tract 9607, Bartow County, Georgia",1400000US13015960700,75.0,206.0
"Block Group 2, Census Tract 9607, Bartow County, Georgia",1400000US13015960700,300.0,817.0
"Block Group 3, Census Tract 9607, Bartow County, Georgia",1400000US13015960700,105.0,284.0
"Block Group 4, Census Tract 9607, Bartow County, Georgia",1400000US13015960700,125.0,342.0
"Block Group 5, Census Tract 9607, Bartow County, Georgia",1400000US13015960700,82.0,224.0
"Block Group 1, Census Tract 9608.01, Bartow County, Georgia",1400000US13015960801,40.0,218.0
"Block Group 2, Census Tract 9608.01, Bartow County, Georgia",1400000US13015960801,89.0,492.0
"Block Group 1, Census Tract 9608.02, Bartow County, Georgia",1400000US13015960802,65.0,336.0
"Block Group 2, Census Tract 9608.02, Bartow County, Georgia",1400000US13015960802,32.0,163.0
"Block Group 1, Census Tract 9608.03, Bartow County, Georgia",1400000US13015960803,108.0,284.0
"Block Group 2, Census Tract 9608.03, Bartow County, Georgia",1400000US13015960803,178.0,465.0
