Geographic Area Names,Geography,Income in the past 12 months below poverty level!!Female!!18 to 44 years,Income in the past 12 months at or above poverty level!!Female!!18 to 44 years
"Block Group 3, Census Tract 42.09, Chatham County, Georgia",1400000US13051004209,58.0,88.0
"Block Group 1, Census Tract 42.10, Chatham County, Georgia",1400000US13051004210,44.0,163.0
"Block Group 2, Census Tract 42.10, Chatham County, Georgia",1400000US13051004210,81.0,298.0
"Block Group 3, Census Tract 42.10, Chatham County, Georgia",1400000US13051004210,160.0,594.0
"Block Group 4, Census Tract 42.10, Chatham County, Georgia",1400000US13051004210,99.0,365.0
"Block Group 1, Census Tract 42.11, Chatham County, Georgia",1400000US13051004211,59.0,259.0
"Block Group 2, Census Tract 42.11, Chatham County, Georgia",1400000US13051004211,102.0,452.0
"Block Group 3, Census Tract 42.11, Chatham County, Georgia",1400000US13051004211,72.0,319.0
"Block Group 4, Census Tract 42.11, Chatham County, Georgia",1400000US13051004211,76.0,336.0
"Block Group 1, Census Tract 42.12, Chatham County, Georgia",1400000US13051004212,225.0,1204.0
"Block Group 2, Census Tract 42.12, Chatham County, Georgia",1400000US13051004212,30.0,163.0
"Block Group 3, Census Tract 42.12, Chatham County, Georgia",1400000US13051004212,40.0,217.0
"Block Group 1, Census Tract 43, Chatham County, Georgia",1400000US13051004300,134.0,938.0
"Block Group 1, Census Tract 44, Chatham County, Georgia",1400000US13051004400,293.0,271.0
"Block Group 2, Census Tract 44, Chatham County, Georgia",1400000US13051004400,97.0,89.0
"Block Group 1, Census Tract 45, Chatham County, Georgia",1400000US13051004500,60.0,104.0
"Block Group 2, Census Tract 45, Chatham County, Georgia",1400000US13051004500,198.0,347.0
"Block Group 3, Census Tract 45, Chatham County, Georgia",1400000US13051004500,141.0,247.0
"Block Group 4, Census Tract 45, Chatham County, Georgia",1400000US13051004500,115.0,201.0
"Block Group 1, Census Tract 101.01, Chatham County, Georgia",1400000US13051010101,105.0,93.0
"Block Group 2, Census Tract 101.01, Chatham County, Georgia",1400000US13051010101,31.0,27.0
"Block Group 1, Census Tract 101.02, Chatham County, Georgia",1400000US13051010102,92.0,327.0
"Block Group 2, Census Tract 101.02, Chatham County, Georgia",1400000US13051010102,162.0,572.0
"Block Group 3, Census Tract 101.02, Chatham County, Georgia",1400000US13051010102,87.0,308.0
"Block Group 1, Census Tract 102, Chatham County, Georgia",1400000US13051010200,49.0,310.0
"Block Group 2, Census Tract 102, Chatham County, Georgia",1400000US13051010200,85.0,535.0
"Block Group 3, Census Tract 102, Chatham County, Georgia",1400000US13051010200,55.0,351.0
"Block Group 1, Census Tract 105.01, Chatham County, Georgia",1400000US13051010501,209.0,147.0
"Block Group 2, Census Tract 105.01, Chatham County, Georgia",1400000US13051010501,82.0,58.0
"Block Group 3, Census Tract 105.01, Chatham County, Georgia",1400000US13051010501,412.0,291.0
"Block Group 4, Census Tract 105.01, Chatham County, Georgia",1400000US13051010501,26.0,19.0
"Block Group 5, Census Tract 105.01, Chatham County, Georgia",1400000US13051010501,191.0,135.0
"Block Group 1, Census Tract 105.02, Chatham County, Georgia",1400000US13051010502,152.0,321.0
"Block Group 2, Census Tract 105.02, Chatham County, Georgia",1400000US13051010502,243.0,515.0
"Block Group 1, Census Tract 106.01, Chatham County, Georgia",1400000US13051010601,157.0,128.0
"Block Group 2, Census Tract 106.01, Chatham County, Georgia",1400000US13051010601,79.0,64.0
"Block Group 3, Census Tract 106.01, Chatham County, Georgia",1400000US13051010601,93.0,76.0
"Block Group 4, Census Tract 106.01, Chatham County, Georgia",1400000US13051010601,68.0,55.0
"Block Group 5, Census Tract 106.01, Chatham County, Georgia",1400000US13051010601,53.0,43.0
"Block Group 6, Census Tract 106.01, Chatham County, Georgia",1400000US13051010601,87.0,70.0
"Block Group 1, Census Tract 106.03, Chatham County, Georgia",1400000US13051010603,51.0,700.0
"Block Group 1, Census Tract 106.05, Chatham County, Georgia",1400000US13051010605,,
"Block Group 1, Census Tract 107, Chatham County, Georgia",1400000US13051010700,222.0,9574.0
"Block Group 2, Census Tract 107, Chatham County, Georgia",1400000US13051010700,4.0,170.0
"Block Group 3, Census Tract 107, Chatham County, Georgia",1400000US13051010700,1.0,27.0
"Block Group 1, Census Tract 108.01, Chatham County, Georgia",1400000US13051010801,78.0,403.0
"Block Group 2, Census Tract 108.01, Chatham County, Georgia",1400000US13051010801,75.0,383.0
"Block Group 1, Census Tract 108.02, Chatham County, Georgia",1400000US13051010802,262.0,2086.0
"Block Group 2, Census Tract 108.02, Chatham County, Georgia",1400000US13051010802,58.0,464.0
"Block Group 1, Census Tract 108.03, Chatham County, Georgia",1400000US13051010803,37.0,175.0
"Block Group 2, Census Tract 108.03, Chatham County, Georgia",1400000US13051010803,12.0,58.0
"Block Group 3, Census Tract 108.03, Chatham County, Georgia",1400000US13051010803,152.0,719.0
"Block Group 4, Census Tract 108.03, Chatham County, Georgia",1400000US13051010803,370.0,1747.0
"Block Group 1, Census Tract 108.06, Chatham County, Georgia",1400000US13051010806,76.0,279.0
"Block Group 2, Census Tract 108.06, Chatham County, Georgia",1400000US13051010806,66.0,240.0
"Block Group 3, Census Tract 108.06, Chatham County, Georgia",1400000US13051010806,133.0,487.0
"Block Group 4, Census Tract 108.06, Chatham County, Georgia",1400000US13051010806,186.0,681.0
"Block Group 1, Census Tract 108.07, Chatham County, Georgia",1400000US13051010807,107.0,452.0
"Block Group 2, Census Tract 108.07, Chatham County, Georgia",1400000US13051010807,27.0,115.0
"Block Group 3, Census Tract 108.07, Chatham County, Georgia",1400000US13051010807,282.0,1194.0
"Block Group 1, Census Tract 108.08, Chatham County, Georgia",1400000US13051010808,259.0,1378.0
"Block Group 2, Census Tract 108.08, Chatham County, Georgia",1400000US13051010808,36.0,189.0
"Block Group 3, Census Tract 108.08, Chatham County, Georgia",1400000US13051010808,140.0,744.0
"Block Group 4, Census Tract 108.08, Chatham County, Georgia",1400000US13051010808,168.0,891.0
"Block Group 1, Census Tract 108.09, Chatham County, Georgia",1400000US13051010809,75.0,1149.0
"Block Group 2, Census Tract 108.09, Chatham County, Georgia",1400000US13051010809,150.0,2291.0
"Block Group 1, Census Tract 109.01, Chatham County, Georgia",1400000US13051010901,222.0,433.0
"Block Group 2, Census Tract 109.01, Chatham County, Georgia",1400000US13051010901,191.0,371.0
"Block Group 3, Census Tract 109.01, Chatham County, Georgia",1400000US13051010901,43.0,83.0
"Block Group 1, Census Tract 110.03, Chatham County, Georgia",1400000US13051011003,54.0,268.0
"Block Group 2, Census Tract 110.03, Chatham County, Georgia",1400000US13051011003,65.0,322.0
"Block Group 3, Census Tract 110.03, Chatham County, Georgia",1400000US13051011003,102.0,505.0
"Block Group 4, Census Tract 110.03, Chatham County, Georgia",1400000US13051011003,17.0,81.0
"Block Group 5, Census Tract 110.03, Chatham County, Georgia",1400000US13051011003,21.0,102.0
"Block Group 1, Census Tract 110.04, Chatham County, Georgia",1400000US13051011004,5.0,379.0
"Block Group 2, Census Tract 110.04, Chatham County, Georgia",1400000US13051011004,2.0,149.0
"Block Group 3, Census Tract 110.04, Chatham County, Georgia",1400000US13051011004,2.0,121.0
"Block Group 1, Census Tract 110.05, Chatham County, Georgia",1400000US13051011005,10.0,94.0
"Block Group 2, Census Tract 110.05, Chatham County, Georgia",1400000US13051011005,4.0,39.0
"Block Group 3, Census Tract 110.05, Chatham County, Georgia",1400000US13051011005,9.0,91.0
"Block Group 4, Census Tract 110.05, Chatham County, Georgia",1400000US13051011005,8.0,80.0
"Block Group 1, Census Tract 110.06, Chatham County, Georgia",1400000US13051011006,6.0,54.0
"Block Group 2, Census Tract 110.06, Chatham County, Georgia",1400000US13051011006,28.0,238.0
"Block Group 1, Census Tract 111.03, Chatham County, Georgia",1400000US13051011103,22.0,140.0
"Block Group 2, Census Tract 111.03, Chatham County, Georgia",1400000US13051011103,6.0,39.0
"Block Group 3, Census Tract 111.03, Chatham County, Georgia",1400000US13051011103,14.0,86.0
"Block Group 4, Census Tract 111.03, Chatham County, Georgia",1400000US13051011103,42.0,265.0
"Block Group 1, Census Tract 111.04, Chatham County, Georgia",1400000US13051011104,43.0,344.0
"Block Group 2, Census Tract 111.04, Chatham County, Georgia",1400000US13051011104,65.0,523.0
"Block Group 3, Census Tract 111.04, Chatham County, Georgia",1400000US13051011104,20.0,164.0
"Block Group 1, Census Tract 111.06, Chatham County, Georgia",1400000US13051011106,142.0,748.0
"Block Group 2, Census Tract 111.06, Chatham County, Georgia",1400000US13051011106,133.0,703.0
"Block Group 1, Census Tract 111.07, Chatham County, Georgia",1400000US13051011107,6.0,132.0
"Block Group 2, Census Tract 111.07, Chatham County, Georgia",1400000US13051011107,15.0,311.0
"Block Group 3, Census Tract 111.07, Chatham County, Georgia",1400000US13051011107,19.0,380.0
"Block Group 1, Census Tract 111.08, Chatham County, Georgia",1400000US13051011108,7.0,391.0
"Block Group 2, Census Tract 111.08, Chatham County, Georgia",1400000US13051011108,6.0,358.0
"Block Group 1, Census Tract 111.09, Chatham County, Georgia",1400000US13051011109,18.0,391.0
"Block Group 2, Census Tract 111.09, Chatham County, Georgia",1400000US13051011109,27.0,600.0
"Block Group 3, Census Tract 111.09, Chatham County, Georgia",1400000US13051011109,6.0,128.0
"Block Group 4, Census Tract 111.09, Chatham County, Georgia",1400000US13051011109,4.0,98.0
"Block Group 1, Census Tract 112, Chatham County, Georgia",1400000US13051011200,163.0,238.0
"Block Group 2, Census Tract 112, Chatham County, Georgia",1400000US13051011200,158.0,231.0
"Block Group 1, Census Tract 113, Chatham County, Georgia",1400000US13051011300,201.0,219.0
"Block Group 2, Census Tract 113, Chatham County, Georgia",1400000US13051011300,152.0,166.0
"Block Group 1, Census Tract 114, Chatham County, Georgia",1400000US13051011400,205.0,175.0
"Block Group 2, Census Tract 114, Chatham County, Georgia",1400000US13051011400,82.0,69.0
"Block Group 1, Census Tract 115, Chatham County, Georgia",1400000US13051011500,25.0,210.0
"Block Group 2, Census Tract 115, Chatham County, Georgia",1400000US13051011500,24.0,197.0
"Block Group 1, Census Tract 116, Chatham County, Georgia",1400000US13051011600,121.0,332.0
"Block Group 2, Census Tract 116, Chatham County, Georgia",1400000US13051011600,128.0,350.0
"Block Group 1, Census Tract 9800, Chatham County, Georgia",1400000US13051980000,,
"Block Group 0, Census Tract 9900, Chatham County, Georgia",1400000US13051990000,,
"Block Group 1, Census Tract 201, Chattahoochee County, Georgia",1400000US13053020100,84.0,154.0
"Block Group 2, Census Tract 201, Chattahoochee County, Georgia",1400000US13053020100,60.0,110.0
"Block Group 1, Census Tract 202.01, Chattahoochee County, Georgia",1400000US13053020201,48.0,494.0
"Block Group 2, Census Tract 202.01, Chattahoochee County, Georgia",1400000US13053020201,7.0,69.0
"Block Group 1, Census Tract 202.03, Chattahoochee County, Georgia",1400000US13053020203,30.0,420.0
"Block Group 2, Census Tract 202.03, Chattahoochee County, Georgia",1400000US13053020203,5.0,73.0
"Block Group 1, Census Tract 202.05, Chattahoochee County, Georgia",1400000US13053020205,29.0,293.0
"Block Group 2, Census Tract 202.05, Chattahoochee County, Georgia",1400000US13053020205,18.0,176.0
"Block Group 3, Census Tract 202.05, Chattahoochee County, Georgia",1400000US13053020205,19.0,191.0
"Block Group 1, Census Tract 202.06, Chattahoochee County, Georgia",1400000US13053020206,,
"Block Group 1, Census Tract 101, Chattooga County, Georgia",1400000US13055010100,28.0,124.0
"Block Group 2, Census Tract 101, Chattooga County, Georgia",1400000US13055010100,40.0,177.0
"Block Group 1, Census Tract 102, Chattooga County, Georgia",1400000US13055010200,72.0,205.0
"Block Group 2, Census Tract 102, Chattooga County, Georgia",1400000US13055010200,80.0,225.0
"Block Group 3, Census Tract 102, Chattooga County, Georgia",1400000US13055010200,57.0,162.0
"Block Group 4, Census Tract 102, Chattooga County, Georgia",1400000US13055010200,129.0,365.0
"Block Group 5, Census Tract 102, Chattooga County, Georgia",1400000US13055010200,63.0,178.0
"Block Group 6, Census Tract 102, Chattooga County, Georgia",1400000US13055010200,23.0,66.0
"Block Group 1, Census Tract 103, Chattooga County, Georgia",1400000US13055010300,115.0,188.0
"Block Group 2, Census Tract 103, Chattooga County, Georgia",1400000US13055010300,49.0,81.0
"Block Group 3, Census Tract 103, Chattooga County, Georgia",1400000US13055010300,79.0,129.0
"Block Group 1, Census Tract 104, Chattooga County, Georgia",1400000US13055010400,107.0,338.0
"Block Group 2, Census Tract 104, Chattooga County, Georgia",1400000US13055010400,100.0,316.0
"Block Group 3, Census Tract 104, Chattooga County, Georgia",1400000US13055010400,22.0,71.0
"Block Group 4, Census Tract 104, Chattooga County, Georgia",1400000US13055010400,64.0,203.0
"Block Group 1, Census Tract 105, Chattooga County, Georgia",1400000US13055010500,75.0,195.0
"Block Group 2, Census Tract 105, Chattooga County, Georgia",1400000US13055010500,71.0,183.0
"Block Group 3, Census Tract 105, Chattooga County, Georgia",1400000US13055010500,34.0,89.0
"Block Group 4, Census Tract 105, Chattooga County, Georgia",1400000US13055010500,58.0,151.0
"Block Group 5, Census Tract 105, Chattooga County, Georgia",1400000US13055010500,24.0,61.0
"Block Group 1, Census Tract 106, Chattooga County, Georgia",1400000US13055010600,123.0,292.0
"Block Group 2, Census Tract 106, Chattooga County, Georgia",1400000US13055010600,105.0,249.0
"Block Group 1, Census Tract 901, Cherokee County, Georgia",1400000US13057090100,20.0,211.0
"Block Group 2, Census Tract 901, Cherokee County, Georgia",1400000US13057090100,52.0,555.0
"Block Group 3, Census Tract 901, Cherokee County, Georgia",1400000US13057090100,62.0,667.0
"Block Group 4, Census Tract 901, Cherokee County, Georgia",1400000US13057090100,71.0,761.0
"Block Group 1, Census Tract 902, Cherokee County, Georgia",1400000US13057090200,101.0,610.0
"Block Group 2, Census Tract 902, Cherokee County, Georgia",1400000US13057090200,96.0,582.0
"Block Group 3, Census Tract 902, Cherokee County, Georgia",1400000US13057090200,111.0,668.0
"Block Group 1, Census Tract 903, Cherokee County, Georgia",1400000US13057090300,39.0,1062.0
"Block Group 2, Census Tract 903, Cherokee County, Georgia",1400000US13057090300,50.0,1347.0
"Block Group 1, Census Tract 904, Cherokee County, Georgia",1400000US13057090400,98.0,246.0
"Block Group 2, Census Tract 904, Cherokee County, Georgia",1400000US13057090400,268.0,671.0
"Block Group 3, Census Tract 904, Cherokee County, Georgia",1400000US13057090400,455.0,1139.0
"Block Group 1, Census Tract 905.01, Cherokee County, Georgia",1400000US13057090501,30.0,339.0
"Block Group 2, Census Tract 905.01, Cherokee County, Georgia",1400000US13057090501,83.0,924.0
"Block Group 1, Census Tract 905.02, Cherokee County, Georgia",1400000US13057090502,30.0,1146.0
"Block Group 2, Census Tract 905.02, Cherokee County, Georgia",1400000US13057090502,9.0,338.0
"Block Group 3, Census Tract 905.02, Cherokee County, Georgia",1400000US13057090502,9.0,364.0
"Block Group 4, Census Tract 905.02, Cherokee County, Georgia",1400000US13057090502,8.0,315.0
"Block Group 1, Census Tract 906.01, Cherokee County, Georgia",1400000US13057090601,85.0,308.0
"Block Group 2, Census Tract 906.01, Cherokee County, Georgia",1400000US13057090601,367.0,1323.0
"Block Group 3, Census Tract 906.01, Cherokee County, Georgia",1400000US13057090601,129.0,468.0
"Block Group 1, Census Tract 906.02, Cherokee County, Georgia",1400000US13057090602,286.0,897.0
"Block Group 2, Census Tract 906.02, Cherokee County, Georgia",1400000US13057090602,145.0,456.0
"Block Group 3, Census Tract 906.02, Cherokee County, Georgia",1400000US13057090602,94.0,296.0
"Block Group 1, Census Tract 907.01, Cherokee County, Georgia",1400000US13057090701,18.0,305.0
"Block Group 2, Census Tract 907.01, Cherokee County, Georgia",1400000US13057090701,16.0,260.0
"Block Group 3, Census Tract 907.01, Cherokee County, Georgia",1400000US13057090701,145.0,2406.0
"Block Group 4, Census Tract 907.01, Cherokee County, Georgia",1400000US13057090701,140.0,2322.0
"Block Group 1, Census Tract 907.02, Cherokee County, Georgia",1400000US13057090702,120.0,1178.0
"Block Group 2, Census Tract 907.02, Cherokee County, Georgia",1400000US13057090702,20.0,200.0
"Block Group 3, Census Tract 907.02, Cherokee County, Georgia",1400000US13057090702,53.0,515.0
"Block Group 4, Census Tract 907.02, Cherokee County, Georgia",1400000US13057090702,16.0,155.0
"Block Group 1, Census Tract 908.02, Cherokee County, Georgia",1400000US13057090802,108.0,571.0
"Block Group 2, Census Tract 908.02, Cherokee County, Georgia",1400000US13057090802,65.0,346.0
"Block Group 3, Census Tract 908.02, Cherokee County, Georgia",1400000US13057090802,154.0,816.0
"Block Group 1, Census Tract 908.03, Cherokee County, Georgia",1400000US13057090803,197.0,1770.0
"Block Group 2, Census Tract 908.03, Cherokee County, Georgia",1400000US13057090803,33.0,293.0
"Block Group 3, Census Tract 908.03, Cherokee County, Georgia",1400000US13057090803,34.0,304.0
"Block Group 1, Census Tract 908.04, Cherokee County, Georgia",1400000US13057090804,82.0,714.0
"Block Group 2, Census Tract 908.04, Cherokee County, Georgia",1400000US13057090804,137.0,1198.0
"Block Group 3, Census Tract 908.04, Cherokee County, Georgia",1400000US13057090804,15.0,133.0
"Block Group 1, Census Tract 909.01, Cherokee County, Georgia",1400000US13057090901,22.0,260.0
"Block Group 2, Census Tract 909.01, Cherokee County, Georgia",1400000US13057090901,84.0,987.0
"Block Group 3, Census Tract 909.01, Cherokee County, Georgia",1400000US13057090901,52.0,610.0
"Block Group 1, Census Tract 909.02, Cherokee County, Georgia",1400000US13057090902,6.0,481.0
"Block Group 2, Census Tract 909.02, Cherokee County, Georgia",1400000US13057090902,7.0,535.0
"Block Group 3, Census Tract 909.02, Cherokee County, Georgia",1400000US13057090902,24.0,1832.0
"Block Group 4, Census Tract 909.02, Cherokee County, Georgia",1400000US13057090902,8.0,637.0
"Block Group 5, Census Tract 909.02, Cherokee County, Georgia",1400000US13057090902,4.0,330.0
"Block Group 1, Census Tract 909.04, Cherokee County, Georgia",1400000US13057090904,69.0,1013.0
"Block Group 2, Census Tract 909.04, Cherokee County, Georgia",1400000US13057090904,47.0,694.0
"Block Group 3, Census Tract 909.04, Cherokee County, Georgia",1400000US13057090904,52.0,765.0
"Block Group 4, Census Tract 909.04, Cherokee County, Georgia",1400000US13057090904,54.0,790.0
"Block Group 1, Census Tract 909.05, Cherokee County, Georgia",1400000US13057090905,41.0,603.0
"Block Group 2, Census Tract 909.05, Cherokee County, Georgia",1400000US13057090905,30.0,450.0
"Block Group 1, Census Tract 910.01, Cherokee County, Georgia",1400000US13057091001,89.0,245.0
"Block Group 2, Census Tract 910.01, Cherokee County, Georgia",1400000US13057091001,15.0,40.0
"Block Group 3, Census Tract 910.01, Cherokee County, Georgia",1400000US13057091001,405.0,1118.0
"Block Group 1, Census Tract 910.03, Cherokee County, Georgia",1400000US13057091003,203.0,546.0
"Block Group 2, Census Tract 910.03, Cherokee County, Georgia",1400000US13057091003,210.0,567.0
"Block Group 3, Census Tract 910.03, Cherokee County, Georgia",1400000US13057091003,271.0,729.0
"Block Group 1, Census Tract 910.05, Cherokee County, Georgia",1400000US13057091005,91.0,524.0
"Block Group 2, Census Tract 910.05, Cherokee County, Georgia",1400000US13057091005,38.0,217.0
"Block Group 3, Census Tract 910.05, Cherokee County, Georgia",1400000US13057091005,105.0,603.0
"Block Group 4, Census Tract 910.05, Cherokee County, Georgia",1400000US13057091005,101.0,580.0
"Block Group 1, Census Tract 910.06, Cherokee County, Georgia",1400000US13057091006,17.0,571.0
"Block Group 2, Census Tract 910.06, Cherokee County, Georgia",1400000US13057091006,12.0,399.0
"Block Group 1, Census Tract 910.07, Cherokee County, Georgia",1400000US13057091007,0.0,153.0
"Block Group 2, Census Tract 910.07, Cherokee County, Georgia",1400000US13057091007,0.0,715.0
"Block Group 3, Census Tract 910.07, Cherokee County, Georgia",1400000US13057091007,0.0,259.0
"Block Group 1, Census Tract 910.08, Cherokee County, Georgia",1400000US13057091008,4.0,109.0
"Block Group 2, Census Tract 910.08, Cherokee County, Georgia",1400000US13057091008,8.0,256.0
"Block Group 3, Census Tract 910.08, Cherokee County, Georgia",1400000US13057091008,16.0,497.0
"Block Group 4, Census Tract 910.08, Cherokee County, Georgia",1400000US13057091008,38.0,1146.0
"Block Group 1, Census Tract 911.01, Cherokee County, Georgia",1400000US13057091101,55.0,470.0
"Block Group 2, Census Tract 911.01, Cherokee County, Georgia",1400000US13057091101,67.0,572.0
"Block Group 3, Census Tract 911.01, Cherokee County, Georgia",1400000US13057091101,55.0,469.0
"Block Group 1, Census Tract 911.02, Cherokee County, Georgia",1400000US13057091102,156.0,599.0
"Block Group 2, Census Tract 911.02, Cherokee County, Georgia",1400000US13057091102,219.0,840.0
"Block Group 3, Census Tract 911.02, Cherokee County, Georgia",1400000US13057091102,130.0,496.0
"Block Group 4, Census Tract 911.02, Cherokee County, Georgia",1400000US13057091102,119.0,457.0
"Block Group 1, Census Tract 911.03, Cherokee County, Georgia",1400000US13057091103,197.0,821.0
"Block Group 2, Census Tract 911.03, Cherokee County, Georgia",1400000US13057091103,183.0,762.0
"Block Group 3, Census Tract 911.03, Cherokee County, Georgia",1400000US13057091103,26.0,107.0
"Block Group 4, Census Tract 911.03, Cherokee County, Georgia",1400000US13057091103,169.0,708.0
"Block Group 1, Census Tract 1, Clarke County, Georgia",1400000US13059000100,460.0,30.0
"Block Group 1, Census Tract 4.01, Clarke County, Georgia",1400000US13059000401,308.0,424.0
"Block Group 1, Census Tract 4.02, Clarke County, Georgia",1400000US13059000402,786.0,85.0
"Block Group 2, Census Tract 4.02, Clarke County, Georgia",1400000US13059000402,1778.0,191.0
"Block Group 3, Census Tract 4.02, Clarke County, Georgia",1400000US13059000402,1468.0,158.0
"Block Group 1, Census Tract 6, Clarke County, Georgia",1400000US13059000600,202.0,168.0
"Block Group 2, Census Tract 6, Clarke County, Georgia",1400000US13059000600,541.0,453.0
"Block Group 1, Census Tract 9, Clarke County, Georgia",1400000US13059000900,45.0,27.0
"Block Group 2, Census Tract 9, Clarke County, Georgia",1400000US13059000900,415.0,245.0
"Block Group 3, Census Tract 9, Clarke County, Georgia",1400000US13059000900,167.0,99.0
"Block Group 1, Census Tract 12, Clarke County, Georgia",1400000US13059001200,231.0,363.0
"Block Group 2, Census Tract 12, Clarke County, Georgia",1400000US13059001200,136.0,214.0
"Block Group 1, Census Tract 17, Clarke County, Georgia",1400000US13059001700,207.0,443.0
"Block Group 1, Census Tract 18, Clarke County, Georgia",1400000US13059001800,125.0,283.0
"Block Group 2, Census Tract 18, Clarke County, Georgia",1400000US13059001800,81.0,184.0
"Block Group 3, Census Tract 18, Clarke County, Georgia",1400000US13059001800,158.0,358.0
"Block Group 1, Census Tract 19, Clarke County, Georgia",1400000US13059001900,388.0,590.0
"Block Group 2, Census Tract 19, Clarke County, Georgia",1400000US13059001900,266.0,405.0
"Block Group 1, Census Tract 20, Clarke County, Georgia",1400000US13059002000,93.0,247.0
"Block Group 2, Census Tract 20, Clarke County, Georgia",1400000US13059002000,66.0,175.0
"Block Group 1, Census Tract 21, Clarke County, Georgia",1400000US13059002100,794.0,641.0
"Block Group 2, Census Tract 21, Clarke County, Georgia",1400000US13059002100,291.0,234.0
"Block Group 1, Census Tract 22, Clarke County, Georgia",1400000US13059002200,86.0,111.0
"Block Group 2, Census Tract 22, Clarke County, Georgia",1400000US13059002200,273.0,354.0
"Block Group 1, Census Tract 301, Clarke County, Georgia",1400000US13059030100,345.0,359.0
"Block Group 2, Census Tract 301, Clarke County, Georgia",1400000US13059030100,560.0,583.0
"Block Group 1, Census Tract 302, Clarke County, Georgia",1400000US13059030200,203.0,136.0
"Block Group 2, Census Tract 302, Clarke County, Georgia",1400000US13059030200,293.0,196.0
"Block Group 3, Census Tract 302, Clarke County, Georgia",1400000US13059030200,540.0,363.0
"Block Group 1, Census Tract 1303, Clarke County, Georgia",1400000US13059130300,374.0,499.0
"Block Group 2, Census Tract 1303, Clarke County, Georgia",1400000US13059130300,304.0,406.0
"Block Group 1, Census Tract 1304, Clarke County, Georgia",1400000US13059130400,197.0,668.0
"Block Group 2, Census Tract 1304, Clarke County, Georgia",1400000US13059130400,127.0,431.0
"Block Group 3, Census Tract 1304, Clarke County, Georgia",1400000US13059130400,114.0,387.0
"Block Group 1, Census Tract 1305, Clarke County, Georgia",1400000US13059130500,64.0,548.0
"Block Group 2, Census Tract 1305, Clarke County, Georgia",1400000US13059130500,17.0,146.0
"Block Group 3, Census Tract 1305, Clarke County, Georgia",1400000US13059130500,24.0,207.0
"Block Group 1, Census Tract 1306, Clarke County, Georgia",1400000US13059130600,214.0,225.0
"Block Group 2, Census Tract 1306, Clarke County, Georgia",1400000US13059130600,683.0,718.0
"Block Group 3, Census Tract 1306, Clarke County, Georgia",1400000US13059130600,340.0,357.0
"Block Group 1, Census Tract 1307, Clarke County, Georgia",1400000US13059130700,245.0,866.0
"Block Group 2, Census Tract 1307, Clarke County, Georgia",1400000US13059130700,55.0,195.0
"Block Group 3, Census Tract 1307, Clarke County, Georgia",1400000US13059130700,230.0,812.0
"Block Group 1, Census Tract 1403, Clarke County, Georgia",1400000US13059140300,201.0,577.0
"Block Group 2, Census Tract 1403, Clarke County, Georgia",1400000US13059140300,114.0,326.0
"Block Group 3, Census Tract 1403, Clarke County, Georgia",1400000US13059140300,137.0,392.0
"Block Group 1, Census Tract 1404, Clarke County, Georgia",1400000US13059140400,124.0,151.0
"Block Group 2, Census Tract 1404, Clarke County, Georgia",1400000US13059140400,448.0,546.0
"Block Group 1, Census Tract 1405, Clarke County, Georgia",1400000US13059140500,232.0,277.0
"Block Group 1, Census Tract 1406, Clarke County, Georgia",1400000US13059140600,40.0,100.0
"Block Group 2, Census Tract 1406, Clarke County, Georgia",1400000US13059140600,193.0,489.0
"Block Group 3, Census Tract 1406, Clarke County, Georgia",1400000US13059140600,197.0,498.0
"Block Group 1, Census Tract 1503, Clarke County, Georgia",1400000US13059150300,102.0,128.0
"Block Group 2, Census Tract 1503, Clarke County, Georgia",1400000US13059150300,181.0,228.0
"Block Group 3, Census Tract 1503, Clarke County, Georgia",1400000US13059150300,112.0,142.0
"Block Group 1, Census Tract 1504, Clarke County, Georgia",1400000US13059150400,500.0,226.0
"Block Group 2, Census Tract 1504, Clarke County, Georgia",1400000US13059150400,494.0,223.0
"Block Group 3, Census Tract 1504, Clarke County, Georgia",1400000US13059150400,271.0,123.0
"Block Group 1, Census Tract 1505, Clarke County, Georgia",1400000US13059150500,626.0,312.0
"Block Group 2, Census Tract 1505, Clarke County, Georgia",1400000US13059150500,331.0,165.0
"Block Group 3, Census Tract 1505, Clarke County, Georgia",1400000US13059150500,546.0,272.0
"Block Group 1, Census Tract 1506, Clarke County, Georgia",1400000US13059150600,377.0,350.0
"Block Group 2, Census Tract 1506, Clarke County, Georgia",1400000US13059150600,388.0,359.0
"Block Group 1, Census Tract 1507, Clarke County, Georgia",1400000US13059150700,184.0,375.0
"Block Group 2, Census Tract 1507, Clarke County, Georgia",1400000US13059150700,355.0,721.0
"Block Group 3, Census Tract 1507, Clarke County, Georgia",1400000US13059150700,183.0,373.0
"Block Group 1, Census Tract 1508, Clarke County, Georgia",1400000US13059150800,67.0,539.0
"Block Group 2, Census Tract 1508, Clarke County, Georgia",1400000US13059150800,39.0,315.0
"Block Group 3, Census Tract 1508, Clarke County, Georgia",1400000US13059150800,51.0,409.0
"Block Group 4, Census Tract 1508, Clarke County, Georgia",1400000US13059150800,71.0,570.0
"Block Group 1, Census Tract 1509, Clarke County, Georgia",1400000US13059150900,117.0,627.0
"Block Group 2, Census Tract 1509, Clarke County, Georgia",1400000US13059150900,82.0,436.0
"Block Group 1, Census Tract 9603, Clay County, Georgia",1400000US13061960300,154.0,114.0
"Block Group 2, Census Tract 9603, Clay County, Georgia",1400000US13061960300,125.0,93.0
